"Deep neck_patient 1_hM2"	"Subcutaneous neck_patient 1_hM2"	"Deep neck_patient 2_hM2"	"Subcutaneous neck_patient 2_hM2"	"Deep neck_patient 3_hM2"	"Subcutaneous neck_patient 3_hM2"	"Deep neck_patient 4_hM2"	"Subcutaneous neck_patient 4_hM2"	"Deep neck_patient 5_hM2"	"Subcutaneous neck_patient 5_hM2"	"Deep neck_patient 6_hM2"	"Subcutaneous neck_patient 6_hM2"
"ENSG00000000003"	9.22809	9.20973	9.14457	9.08287	9.30645	9.12108	8.86367	8.96286	9.2335	9.3704	9.06883	8.91595
"ENSG00000000005"	5.51666	5.62361	4.58417	4.87525	5.44601	5.09283	4.71885	4.79203	4.8796	4.76162	4.78854	4.68637
"ENSG00000000419"	11.30595	11.17506	11.3444	11.23906	11.34618	11.33127	11.13747	11.37845	11.18384	11.15051	11.16603	11.32231
"ENSG00000000457"	8.9209	8.90755	8.5884	8.39239	8.62757	8.4797	8.49451	8.72872	9.04557	9.05041	8.94977	8.75218
"ENSG00000000460"	6.23218	6.04396	6.09219	6.22294	6.46652	7.06444	6.65904	6.51308	6.24652	6.2372	6.27656	6.0509
"ENSG00000000938"	7.23077	7.5832	7.43565	7.7979	7.43352	7.44212	7.42402	7.69692	7.59733	7.56255	7.64385	7.5916
"ENSG00000000971"	8.8913	7.99552	9.81895	6.78935	9.06083	7.41664	10.30436	7.67761	9.69799	6.93212	9.22909	6.75018
"ENSG00000001036"	10.26506	10.18555	10.64282	10.40244	10.72374	10.60171	10.25678	10.49512	10.20766	10.20295	10.26069	10.40943
"ENSG00000001084"	8.85116	8.60263	8.79821	7.69871	8.23307	8.03312	8.33612	8.08821	8.56555	8.31031	8.67846	7.99292
"ENSG00000001167"	8.99239	8.89928	9.18862	9.26689	9.31474	9.34871	9.62024	9.55289	9.23669	9.2326	9.25973	9.36088
"ENSG00000001460"	8.12448	8.01462	8.05767	8.59688	8.37965	8.80524	8.06617	8.54045	7.66123	8.45901	7.69914	8.23952
"ENSG00000001461"	9.05003	8.80422	9.10676	9.42518	9.0127	9.40528	9.02949	9.21569	8.59543	8.73345	8.69945	8.84129
"ENSG00000001497"	8.47721	8.47711	8.59895	8.54991	8.63735	8.56695	8.75905	8.88122	8.75065	8.65767	8.58674	8.50885
"ENSG00000001561"	7.60918	6.78779	5.97276	6.25197	6.37339	6.41493	6.01134	6.19899	6.17411	6.20478	6.31155	6.13173
"ENSG00000001617"	8.82768	8.25721	7.75142	7.87685	7.67122	7.21563	8.98146	7.79161	8.063	7.96579	8.34553	8.24467
"ENSG00000001626"	4.493	4.48478	4.4851	4.56834	4.544	4.59554	4.41987	4.54684	4.59902	4.45538	4.50291	4.53743
"ENSG00000001629"	11.24508	11.18636	11.24152	11.23131	11.04762	11.11876	10.91067	11.05498	11.07152	11.10415	11.08651	11.15451
"ENSG00000001630"	9.886525	9.682935	10.230185	10.124215	10.08539	9.94993	9.918435	9.830995	10.08348	9.821625	10.014905	9.931015
"ENSG00000001631"	9.42484	9.24986	9.53946	9.18359	9.16871	9.33516	9.27503	9.11977	9.37036	9.56814	9.45818	9.33072
"ENSG00000002016"	8.67193	8.63755	8.57381	8.43117	8.65101	8.60405	8.84148	8.70371	8.95577	8.84602	8.85192	8.75385
"ENSG00000002079"	6.55804	6.56816	6.42755	6.74757	6.41734	6.35174	6.48276	6.55751	6.65041	6.62562	6.54857	6.6494
"ENSG00000002330"	8.5904	8.8211	8.43618	8.49058	8.53867	8.52503	8.69471	8.53702	8.66125	8.59104	8.69661	8.55677
"ENSG00000002549"	9.28225	8.9941	8.99431	8.86972	9.04362	8.99413	9.204	9.19129	9.17035	9.01693	9.26758	9.1217
"ENSG00000002586"	11.8162	11.85282	11.78469	11.94215	11.88348	11.76965	11.57032	11.70679	11.5201	11.70715	11.42369	11.66055
"ENSG00000002587"	7.17245	7.50583	7.23729	7.64271	7.51703	7.42857	7.39018	7.42751	7.46837	7.45242	7.58802	7.51622
"ENSG00000002726"	7.12024	7.11702	7.13892	7.2277	7.01235	7.00983	7.1179	7.15382	7.03435	7.09219	7.05658	7.09526
"ENSG00000002745"	6.63518	6.59294	6.44445	6.8012	6.62586	6.57969	6.75295	6.7338	6.63129	6.60664	6.6832	6.71592
"ENSG00000002746"	5.96876	6.19178	6.13465	6.23747	6.16142	6.12268	6.13997	6.41413	6.10791	6.46904	6.38855	6.15992
"ENSG00000002822"	8.55158	8.44074	8.53372	8.61317	8.57416	8.64193	8.66588	8.63575	8.54148	8.50887	8.50394	8.60266
"ENSG00000002834"	10.01447	10.082345	9.610215	9.574705	9.710965	9.59072	9.88662	9.53264	9.300865	9.708295	9.247775	9.88741
"ENSG00000002919"	8.53255	8.46044	8.33593	8.29039	8.22209	8.29015	8.20741	8.28228	8.24886	8.19057	8.04032	8.14193
"ENSG00000002933"	6.74923	7.44463	5.83448	6.2129	6.5547	6.39376	6.03688	5.90037	6.10341	6.97747	6.10888	6.10617
"ENSG00000003056"	10.36327	10.17116	10.3155	10.13446	10.50872	10.55907	10.0721	10.07771	10.34072	10.1181	10.30671	10.1353
"ENSG00000003096"	6.81502	6.05921	7.09295	7.91584	7.79769	7.20615	7.13238	5.7737	7.17564	6.79959	6.84108	6.60922
"ENSG00000003137"	7.5731	7.31328	7.01702	7.52391	7.50029	7.36835	7.94581	7.02292	8.2738	7.18215	7.62605	7.14852
"ENSG00000003147"	5.12513	5.1986	4.86189	4.96537	4.9864	5.26562	5.11495	5.09476	5.08514	5.06201	4.96764	5.06645
"ENSG00000003249"	8.13142	8.18875	8.11691	8.27653	7.99122	7.98039	8.10336	8.17837	8.15999	8.13847	8.07164	8.15762
"ENSG00000003393"	8.03524	7.83576	8.40807	7.81192	7.89824	7.93784	8.03543	7.80732	7.94735	8.09479	7.94403	7.91446
"ENSG00000003400"	5.97521	5.74894	5.5611	5.76637	5.89733	5.7179	5.3269	5.76511	6.0372	5.45263	6.11326	5.86032
"ENSG00000003402"	8.89582	8.725545	9.04235	8.408345	7.90149	7.96683	8.516035	8.32817	8.57686	8.79624	8.664435	8.53114
"ENSG00000003436"	9.59331	8.65928	9.65559	7.18621	8.79564	7.53678	10.48238	8.20095	9.01109	7.20466	9.13914	8.07223
"ENSG00000003509"	8.28859	8.33422	8.49106	8.31103	8.45371	8.38644	8.14249	8.1196	8.32855	8.46562	8.27903	8.17424
"ENSG00000003756"	10.2291	10.31233	10.36794	10.13947	10.18245	10.20878	10.4399	10.29302	10.36629	10.50587	10.44321	10.39234
"ENSG00000003987"	5.46292	5.66342	5.42362	5.6165	5.54256	5.44506	5.35444	5.34972	5.49877	5.60862	5.3784	5.53903
"ENSG00000003989"	6.20841	6.21179	6.53251	5.9715	6.38898	6.13107	6.5534	5.83709	5.98152	5.87252	5.90304	5.81971
"ENSG00000004059"	10.12848	10.13776	10.28919	10.47206	10.45565	10.35747	10.49827	10.12289	10.08964	10.21542	10.07158	10.54024
"ENSG00000004139"	8.47988	8.18794	8.20345	7.99105	8.05367	7.77057	8.16805	7.91792	8.48045	8.14436	8.37148	8.18523
"ENSG00000004142"	10.89801	10.8729	10.78568	10.8146	10.91411	10.88975	10.82865	10.82934	10.76508	10.81118	10.73055	10.7377
"ENSG00000004399"	10.85332	11.04754	11.03856	11.22338	10.85575	10.91545	10.68513	10.49203	10.53176	10.7076	10.43907	10.87308
"ENSG00000004455"	9.94889	10.33353	9.92303	9.719385	9.772225	9.933225	9.73253	9.77837	9.614455	9.676565	9.676935	9.686435
"ENSG00000004468"	5.98014	6.1042	6.06388	5.98268	5.752095	5.78332	5.93077	5.96893	6.029585	6.03132	6.060105	5.78641
"ENSG00000004478"	9.63313	9.83109	9.41895	9.51014	9.37592	9.51153	9.61106	9.68565	9.28506	9.56553	9.16138	9.30994
"ENSG00000004487"	9.08572	9.10947	9.77047	9.36101	9.66249	9.65646	9.56391	9.6269	9.33962	9.44479	9.23576	9.36489
"ENSG00000004534"	8.65443	8.53332	8.73024	8.695	8.44816	8.44376	8.50822	8.69697	8.4875	8.51751	8.49542	8.51286
"ENSG00000004660"	6.84321	7.0857	7.21614	7.36887	6.75906	7.21129	7.10884	7.03097	6.93389	7.00641	6.90747	7.1851
"ENSG00000004700"	8.96575	8.7106	9.0064	8.9531	8.8159	9.20188	9.12603	9.25105	9.34442	9.24295	9.43987	8.98854
"ENSG00000004766"	8.22854	7.93817	7.90903	7.47507	7.80536	7.94193	7.65918	7.83115	7.83346	8.11809	7.6948	7.85068
