"sWAT_patient 5_hM3"	"sWAT (cold acclimation)_patient 5_hM3"	"sWAT_patient 2_hM3"	"sWAT_patient 6_hM3"	"sWAT (cold acclimation)_patient 2_hM3"	"sWAT (cold acclimation)_patient 6_hM3"	"sWAT_patient 3_hM3"	"sWAT_patient 7_hM3"	"sWAT (cold acclimation)_patient 3_hM3"	"sWAT (cold acclimation)_patient 7_hM3"	"sWAT_patient 4_hM3"	"sWAT_patient 8_hM3"	"sWAT (cold acclimation)_patient 4_hM3"	"sWAT (cold acclimation)_patient 8_hM3"
"ENSG00000000003"	7.94426	7.38076	7.94283	7.51835	8.00389	8.10653	7.07253	8.05769	6.89839	8.14717	7.57893	8.01063	7.88328	8.19358
"ENSG00000000005"	8.89891	8.17517	8.3538	8.62759	8.58222	8.78777	8.90863	8.89947	8.41835	8.94393	9.60807	8.23126	9.23318	8.51076
"ENSG00000000419"	7.66207	7.31346	7.427	7.3482	7.53082	7.64958	7.45765	7.67674	7.15436	7.53674	7.20891	7.7354	7.59066	7.73047
"ENSG00000000457"	6.34707	5.92822	6.25477	5.96438	6.20412	6.53584	5.95496	6.53641	6.02417	6.44871	5.46266	6.85288	6.71912	6.65986
"ENSG00000000460"	4.62755	5.32825	5.29725	5.21748	5.54872	5.67101	5.25966	5.53867	5.10252	5.46965	4.9399	5.51986	5.45697	5.30638
"ENSG00000000938"	6.57713	8.42293	7.36791	6.96171	6.7253	6.53272	7.6082	5.67082	7.77146	6.60588	6.69325	6.83821	6.34196	6.54331
"ENSG00000000971"	9.21758	8.32233	8.91738	8.54245	9.19931	8.82653	8.50664	8.53831	8.40257	8.56182	8.66353	8.8619	9.25021	9.13382
"ENSG00000001036"	7.48398	7.74971	7.41741	7.36141	7.74479	7.72703	7.65113	7.7834	7.48789	7.75959	7.30905	7.77601	7.82624	7.81281
"ENSG00000001084"	7.80776	7.53479	7.31626	7.38165	7.44851	7.73124	7.44458	7.35989	7.00425	7.68848	7.07124	7.74437	7.42107	7.55809
"ENSG00000001167"	7.57056	7.44321	7.5922	7.33476	7.66091	7.78739	7.22987	7.81203	7.25056	7.48668	7.3239	7.39025	7.58722	7.54222
"ENSG00000001460"	6.31017	6.39476	6.10461	6.35743	6.1161	6.20684	6.36447	6.39861	6.41927	6.39487	6.24804	6.14727	6.4303	6.43182
"ENSG00000001461"	6.39216	5.95615	6.17264	5.52404	6.01071	6.36242	5.85007	6.4085	6.00663	6.13793	5.61677	5.64054	6.46303	6.23502
"ENSG00000001497"	6.98394	6.40596	6.53416	6.32514	6.83913	6.85001	6.48427	6.81822	6.61543	6.83908	6.41629	6.67277	6.92997	6.87481
"ENSG00000001561"	5.7618	5.78841	5.91822	5.69836	5.94692	6.09926	5.59535	6.15711	5.3901	6.01958	6.22586	6.01589	6.4327	6.19188
"ENSG00000001617"	5.69973	5.95778	5.63064	5.75325	5.98159	5.93464	5.82264	5.66082	5.51611	5.6402	5.95517	5.42064	5.67963	5.65465
"ENSG00000001626"	2.68301	2.81191	2.64044	2.67181	2.61558	2.71318	2.54441	2.55827	2.8852	2.5137	2.8319	2.80736	2.58036	2.68035
"ENSG00000001629"	8.54896	8.30136	8.41105	8.33911	8.56433	8.5151	8.41641	8.59265	8.31034	8.58634	8.45938	8.4157	8.65474	8.57733
"ENSG00000001630"	6.952435	8.154625	6.588705	6.429195	6.68374	6.989755	6.781655	6.939365	6.5953	6.738185	6.221925	6.90008	7.083685	6.980065
"ENSG00000001631"	7.92815	7.70658	8.00173	7.64025	7.94483	7.97879	7.72538	8.25994	7.63759	8.15419	7.94505	8.02804	8.19665	8.21234
"ENSG00000002016"	6.26434	5.93374	6.08716	6.06635	6.18389	6.51177	6.27532	6.25913	6.44257	6.21074	5.9921	6.33878	6.20278	6.42652
"ENSG00000002330"	5.50495	5.71723	5.69532	6.05505	5.31671	5.10394	5.86409	5.21516	5.81932	5.32559	6.04636	5.53616	5.10927	5.21035
"ENSG00000002549"	7.10076	7.32228	7.21211	6.44322	6.84524	6.80108	6.73109	7.09362	6.74986	6.99176	6.81338	7.16292	7.35599	7.12592
"ENSG00000002586"	9.96338	9.81134	9.88961	9.62648	9.88489	9.96074	9.6901	9.92147	9.89998	9.89775	9.71747	9.95701	9.94266	9.92987
"ENSG00000002587"	4.29183	5.22101	4.15073	4.57109	4.06212	4.64599	4.69366	4.5243	4.47402	4.38813	4.90243	4.21638	4.09324	4.15449
"ENSG00000002726"	3.71352	3.33725	3.63293	3.50273	3.66198	3.54089	3.45427	3.51759	3.45535	3.33242	3.40657	3.51162	3.54732	3.35997
"ENSG00000002745"	3.33981	3.28583	3.33376	3.45344	3.16366	3.13898	3.20569	3.23042	3.4099	3.12967	3.28277	3.15776	3.16689	3.45067
"ENSG00000002746"	2.71248	2.42128	2.69572	2.62585	2.56478	2.63489	2.56476	2.78993	2.89145	2.67269	2.56618	2.93865	2.50143	2.5507
"ENSG00000002822"	6.18727	6.12538	6.17595	5.92066	6.21745	5.81735	6.02004	5.96272	5.99074	6.19126	5.79439	6.07873	6.15581	6.0608
"ENSG00000002834"	6.76636	6.88032	6.87178	6.747205	7.063325	6.75398	6.87091	6.612005	6.789485	6.855505	6.72239	6.77085	6.658535	6.69381
"ENSG00000002919"	5.85503	5.61793	6.26255	5.25564	5.72173	5.60328	5.90575	5.79071	5.87061	6.01423	5.39476	5.70536	5.81867	5.8192
"ENSG00000002933"	6.04732	6.32394	6.88257	6.44476	6.59657	5.91693	6.34729	6.20703	6.51779	6.30005	6.11722	6.72981	5.86617	6.47691
"ENSG00000003056"	8.50746	9.14226	8.54033	8.21853	8.52516	8.77352	8.4876	8.54096	8.69586	8.67937	8.0752	8.99902	8.60414	8.69228
"ENSG00000003096"	3.764	3.32124	3.47266	3.06522	3.51825	3.4896	3.28158	3.84558	3.79013	3.82028	2.97343	4.10412	3.76703	3.80407
"ENSG00000003137"	5.4011	5.56182	5.99822	6.44091	5.91007	6.37436	6.53656	5.33573	6.44346	5.89363	6.00673	6.38968	5.73896	6.75711
"ENSG00000003147"	6.87052	6.76219	6.87695	6.62515	6.78242	6.74655	6.79466	6.75982	6.43709	6.64114	6.9689	6.84739	6.95414	6.91839
"ENSG00000003249"	4.9023	4.8154	4.77043	4.82231	4.78009	4.39129	4.44147	4.31323	4.74521	4.25604	5.12762	4.88564	4.55277	4.10028
"ENSG00000003393"	6.12849	5.73098	5.97129	5.88027	6.03701	6.27892	5.63306	6.28658	5.54924	6.17658	5.86213	5.79377	6.28246	5.98251
"ENSG00000003400"	6.04434	5.703	5.95519	5.57096	5.92013	6.04149	5.50857	6.11571	5.74268	6.00042	5.49633	5.88914	6.12148	6.19857
"ENSG00000003402"	9.472905	9.03506	9.582485	9.15548	9.38419	9.571575	9.04779	9.288205	9.025125	9.42223	9.121045	9.420835	9.382805	9.48505
"ENSG00000003436"	7.61206	7.76333	7.67439	7.6022	7.6375	7.89635	6.97618	7.926	7.61522	7.58193	7.5187	7.61143	7.85314	7.86607
"ENSG00000003509"	6.77465	6.74203	6.83183	6.83075	6.77662	6.88901	6.71293	6.84724	6.65769	6.7865	6.70229	6.83842	7.05287	7.01129
"ENSG00000003756"	9.16207	8.83402	8.97091	8.72598	9.13902	9.11764	8.94058	9.10206	8.8663	9.15681	9.04712	9.03221	9.22698	8.9985
"ENSG00000003987"	2.62069	2.57102	2.74853	3.01021	2.57477	3.20376	2.52295	2.69627	3.08355	2.72175	2.70211	2.7037	2.61507	3.54672
"ENSG00000003989"	7.04384	6.65618	7.23371	6.85396	7.26707	7.31661	7.11075	7.10557	6.87025	7.20602	6.9383	6.76889	7.48313	7.46423
"ENSG00000004059"	7.06196	7.61271	7.16009	7.39355	7.17003	7.04424	7.92395	6.89667	7.85959	7.2546	7.27213	7.00014	6.61055	7.01552
"ENSG00000004139"	4.8283	4.66003	4.67399	5.08025	4.57938	4.84041	5.43468	4.76211	5.04343	4.86107	4.86646	4.98306	4.86792	4.68575
"ENSG00000004142"	7.5458	7.63545	7.44028	7.10754	7.50066	7.35038	7.30234	7.56201	7.43074	7.6458	7.13137	7.48432	7.13748	7.4666
