"BAT_M01(r1)"	"BAT_M01(r2)"	"WAT_M01(r1)"	"WAT_M01(r2)"
"ENSMUSG00000000001"	6.97681	6.767035	8.05191	7.97276
"ENSMUSG00000000003"	3.76132	4.06255	3.63481	3.45739
"ENSMUSG00000000028"	6.14651	6.11622	5.64406	5.78653
"ENSMUSG00000000031"	11.49034	11.3009	9.70217	8.23232
"ENSMUSG00000000037"	3.971475	4.189745	4.209965	4.295225
"ENSMUSG00000000049"	5.0934	5.00558	5.1732	5.1498
"ENSMUSG00000000056"	6.94583666666667	7.25935666666667	6.67284333333333	6.53599
"ENSMUSG00000000058"	9.71547	9.500945	9.4269	9.23598
"ENSMUSG00000000078"	7.45639	7.243925	7.7467175	7.8664175
"ENSMUSG00000000085"	5.693075	5.869685	6.178765	6.274595
"ENSMUSG00000000088"	13.3740466666667	13.4513266666667	11.8724	11.58001
"ENSMUSG00000000093"	4.72247	4.29402	6.90272	7.55351
"ENSMUSG00000000094"	4.6381	4.54804	4.06978	4.12163
"ENSMUSG00000000103"	4.304185	4.38913	4.423745	3.993445
"ENSMUSG00000000120"	5.10441666666667	5.22150333333333	4.83701333333333	4.80901
"ENSMUSG00000000125"	3.82107	3.82024	3.47097	3.65194
"ENSMUSG00000000126"	5.259225	5.36262	4.985685	4.862885
"ENSMUSG00000000127"	7.05912	6.96618	6.588325	6.58789
"ENSMUSG00000000131"	7.80101	7.79787	7.93306	7.99291
"ENSMUSG00000000134"	8.58182	8.48244	9.00844	9.0811
"ENSMUSG00000000142"	6.31954	5.96525	6.54169	7.05035
"ENSMUSG00000000148"	5.7864025	5.8726575	5.61913	5.59478
"ENSMUSG00000000149"	8.02565	8.03201666666667	7.36046333333333	7.21969
"ENSMUSG00000000154"	6.52371	6.07218	6.46936	6.656325
"ENSMUSG00000000157"	5.8557	5.93275	5.51445	5.48107
"ENSMUSG00000000159"	4.881025	4.41651	6.72132	6.996375
"ENSMUSG00000000167"	4.65191	4.72663	5.13643	5.78099
"ENSMUSG00000000168"	9.2500825	9.49019	7.29247	7.3132125
"ENSMUSG00000000171"	10.40357	10.65535	8.95637	8.820785
"ENSMUSG00000000182"	4.44358	3.97078	3.92769	3.80418
"ENSMUSG00000000183"	4.66487	4.76131	4.25522	4.30073
"ENSMUSG00000000184"	9.11621857142857	8.72336714285714	8.58121571428571	8.56361428571429
"ENSMUSG00000000194"	6.90841	6.85442666666667	7.06134333333333	7.01923666666667
"ENSMUSG00000000197"	4.00544	4.155085	4.48872	5.043985
"ENSMUSG00000000202"	4.58362	4.37562	4.07568	4.30993
"ENSMUSG00000000204"	4.26055	4.422395	4.34184	4.31145
"ENSMUSG00000000214"	5.19259	5.18438	4.74984	4.86873
"ENSMUSG00000000215"	8.9173	7.06445	6.28492	6.36246
"ENSMUSG00000000216"	4.56504	5.06673	4.89258	4.65123
"ENSMUSG00000000223"	5.40481666666667	5.81121666666667	5.23641	5.24374333333333
"ENSMUSG00000000244"	5.97089	6.14882	5.999375	5.8031
"ENSMUSG00000000247"	4.35536	4.50674	4.17486	4.1441
"ENSMUSG00000000248"	3.59738	4.01227	3.54997	3.68519
"ENSMUSG00000000253"	9.32668	9.80483	6.94701	6.9691
"ENSMUSG00000000263"	3.83257	4.11476	3.812085	3.89698
"ENSMUSG00000000266"	5.685405	5.57825	5.64636	5.588455
"ENSMUSG00000000275"	8.00843666666667	7.74544333333333	8.07250666666667	7.87008666666667
"ENSMUSG00000000276"	6.03117333333333	6.25097666666667	5.86305666666667	5.69956666666667
"ENSMUSG00000000278"	10.18988	10.02323	9.32429	9.208885
"ENSMUSG00000000282"	6.323005	6.362465	6.69782	6.62008
"ENSMUSG00000000290"	8.09697	7.05286	8.33196	7.83261
"ENSMUSG00000000295"	8.35428	8.41642	8.81553	9.14095
"ENSMUSG00000000296"	7.82241	8.15564	9.98054	10.52518
"ENSMUSG00000000301"	6.55769	6.06643	9.33227	9.66071
"ENSMUSG00000000303"	3.72571	4.00522	9.29055	9.26666
"ENSMUSG00000000305"	4.92914666666667	4.99004333333333	4.59811	4.65223
"ENSMUSG00000000308"	5.03035	4.81512	5.224735	4.947245
"ENSMUSG00000000317"	6.41918	6.45573	6.52307	6.40699
"ENSMUSG00000000318"	9.33968	8.68827	8.86746	8.53238
"ENSMUSG00000000320"	5.02566	4.98122	5.97698	6.400735
"ENSMUSG00000000325"	5.20378	5.28049666666667	5.60553	5.59340666666667
"ENSMUSG00000000326"	11.17975	11.126575	10.23931	9.913725
"ENSMUSG00000000339"	9.01305	9.17603	8.67473	8.93126
"ENSMUSG00000000340"	10.43679	10.59181	8.75461	8.926
"ENSMUSG00000000346"	10.85338	10.90783	11.61239	11.75046
"ENSMUSG00000000355"	10.55595	10.83655	9.84008	9.80355
"ENSMUSG00000000359"	5.690535	5.825265	6.588055	6.83594
"ENSMUSG00000000365"	3.95044333333333	3.92129666666667	3.94145333333333	3.92053
"ENSMUSG00000000374"	8.99865	9.00542	8.88433	8.86441
"ENSMUSG00000000378"	8.99623666666667	8.89963	8.50940333333333	8.45379333333333
"ENSMUSG00000000381"	5.22655	4.64315	13.08558	10.6207
"ENSMUSG00000000384"	7.9374875	8.08601	6.740845	6.53866
"ENSMUSG00000000385"	4.47245333333333	4.31610666666667	5.70698	5.51915666666667
"ENSMUSG00000000386"	5.01036	4.72675	5.02903	4.87871
"ENSMUSG00000000392"	8.05619	7.82065	7.79449	6.88806
"ENSMUSG00000000394"	4.82905	4.132	3.71757	3.3966
"ENSMUSG00000000399"	12.40444	12.49094	10.8915	10.74976
"ENSMUSG00000000402"	3.75322	3.82794	5.49919	6.58038
"ENSMUSG00000000409"	5.53146333333333	5.45114	6.40809	5.69731333333333
"ENSMUSG00000000411"	4.57455	4.1971	4.76452	4.66605
"ENSMUSG00000000416"	3.55773	3.3582	4.52363	6.97332
"ENSMUSG00000000420"	8.910955	8.879625	9.04069	9.02875
"ENSMUSG00000000435"	3.90101	3.7499	3.64679	3.47498
"ENSMUSG00000000439"	7.39605	7.69247666666667	6.88136	6.80928
"ENSMUSG00000000440"	11.31203	11.44069	10.12851	9.8218
"ENSMUSG00000000441"	9.736425	9.761735	9.26394	9.165075
"ENSMUSG00000000486"	6.06449	6.09699	5.76306	5.80971
"ENSMUSG00000000489"	8.09064	7.989385	7.16497	7.115545
"ENSMUSG00000000530"	6.594885	6.34502	6.246965	6.21303
"ENSMUSG00000000531"	7.38563	7.128495	6.695605	6.8129
"ENSMUSG00000000532"	8.5344	8.75478	9.80435	9.77676
"ENSMUSG00000000538"	6.5153475	6.695	6.01252	6.1018625
"ENSMUSG00000000544"	4.83678	5.124835	4.825745	4.558385
"ENSMUSG00000000552"	8.29102	8.30474	6.97332	6.7418
"ENSMUSG00000000555"	6.77566	6.04144	5.45993	5.32055
"ENSMUSG00000000560"	4.08914333333333	4.00474666666667	3.71403666666667	3.82665666666667
"ENSMUSG00000000561"	7.64718666666667	7.69942333333333	7.40472	7.61144
"ENSMUSG00000000562"	3.79002	3.83632	3.83094	3.67523
"ENSMUSG00000000563"	12.775805	12.897705	11.422475	11.277035
"ENSMUSG00000000567"	5.548	5.393875	7.421595	7.875575
"ENSMUSG00000000568"	5.83937666666667	5.99447	6.10966	6.40194
"ENSMUSG00000000579"	10.47889	10.51754	11.290895	11.017305
"ENSMUSG00000000581"	5.73690333333333	5.84668666666667	5.88139666666667	5.99309666666667
"ENSMUSG00000000594"	8.18233333333333	8.02355333333333	8.24007333333333	7.94809333333333
"ENSMUSG00000000600"	5.901308	5.988018	6.194094	6.12008
"ENSMUSG00000000605"	9.018825	9.00527	8.950085	8.974115
"ENSMUSG00000000606"	3.74262	3.650645	3.42605	3.717975
"ENSMUSG00000000627"	4.82428	4.931575	4.900035	4.736815
"ENSMUSG00000000628"	11.09037	11.36669	9.70742	9.98126
"ENSMUSG00000000631"	8.65327	8.87892	7.97962	7.91231
"ENSMUSG00000000632"	6.828665	6.556985	6.23611	6.306915
"ENSMUSG00000000673"	5.55101	5.7544	5.85735	5.82484
"ENSMUSG00000000682"	8.45007	7.16375	12.83774	12.47794
"ENSMUSG00000000686"	6.651795	6.583815	5.39352	5.815225
"ENSMUSG00000000690"	5.86835	6.21259	10.22068	10.6017
"ENSMUSG00000000693"	6.28352	6.39221	6.42375	6.52394
"ENSMUSG00000000706"	4.00324333333333	3.96222	6.03186666666667	4.87716666666667
"ENSMUSG00000000708"	9.1517	9.16375	8.383225	8.49082
"ENSMUSG00000000711"	7.07875	7.08375	6.61305	6.53177
"ENSMUSG00000000724"	4.57508	4.81641	4.39912	4.43217
"ENSMUSG00000000730"	5.28545	4.86654	4.52363	4.50465
"ENSMUSG00000000731"	5.05331	5.04694	4.93996	5.13148
"ENSMUSG00000000732"	6.84483	6.66461	7.33812	7.52335
"ENSMUSG00000000738"	8.82022	8.76065	8.36116	8.28491
"ENSMUSG00000000739"	6.58977	6.68471	7.148	7.67143
"ENSMUSG00000000740"	12.49102	12.5084433333333	13.42543	13.1797933333333
"ENSMUSG00000000743"	9.1183	9.03257	9.2937	9.50035
"ENSMUSG00000000751"	8.989565	9.26125	9.20762	9.055045
"ENSMUSG00000000753"	10.79199	10.237555	9.763005	9.71941
"ENSMUSG00000000759"	7.21352	7.36457	7.20746	7.37161
"ENSMUSG00000000766"	4.787855	4.592795	4.572845	4.597835
"ENSMUSG00000000776"	7.04505	7.125615	7.18662	7.264705
"ENSMUSG00000000782"	5.394895	5.193685	7.708565	8.374305
"ENSMUSG00000000787"	10.9598833333333	10.9768466666667	10.9857166666667	10.9546433333333
"ENSMUSG00000000791"	4.61701	4.46153	4.7093	4.6724
"ENSMUSG00000000792"	5.149445	5.10444	4.990745	4.650095
"ENSMUSG00000000794"	5.70921	5.38677	4.99796	4.73557
"ENSMUSG00000000804"	7.08829	7.07104	7.206755	7.25039
"ENSMUSG00000000805"	8.57668	8.610915	8.09011	7.29045
"ENSMUSG00000000811"	7.45847333333333	7.57907333333333	7.14228666666667	7.46973333333333
"ENSMUSG00000000817"	4.156975	4.08745	4.125065	3.92123
"ENSMUSG00000000823"	6.716055	6.93333	6.82633	7.03685
"ENSMUSG00000000826"	8.434382	8.454988	8.405346	8.556946
"ENSMUSG00000000827"	8.71389666666667	8.72627333333333	8.28815666666667	8.37876666666667
"ENSMUSG00000000838"	7.7811075	7.649975	8.2108775	8.09614
"ENSMUSG00000000861"	4.48202166666667	4.336515	4.66043166666667	4.32490166666667
"ENSMUSG00000000869"	4.12447	4.29059	3.91322	4.09256
"ENSMUSG00000000876"	8.929545	8.68112	8.063955	7.912685
"ENSMUSG00000000881"	5.99186	5.93372	7.06235	6.87537
"ENSMUSG00000000884"	4.76277	5.13048	5.17692	4.87704
"ENSMUSG00000000889"	5.60383	5.60436	5.24362	5.32527
"ENSMUSG00000000901"	5.70991	5.77245	5.78917	5.6932
"ENSMUSG00000000902"	7.58701	7.663395	7.745735	7.635495
"ENSMUSG00000000903"	5.79145	5.88122	5.55048	5.31597
"ENSMUSG00000000915"	6.48295666666667	6.51523333333333	7.78548333333333	8.35857333333333
"ENSMUSG00000000916"	6.62691	6.713455	6.34305	6.209445
"ENSMUSG00000000934"	7.10931	7.22734	6.60715	6.53158
"ENSMUSG00000000938"	3.3691	4.25277	3.91188	4.12721
