"gWAT_M02(r1)"	"gWAT_M02(r2)"	"BAT_M02(r1)"	"BAT_M02(r2)"
"ENSMUSG00000000001"	8.70452	8.47414	8.211365	8.11577
"ENSMUSG00000000003"	2.18495	2.1595	2.12432	2.16055
"ENSMUSG00000000028"	7.44338	7.74203	6.85097	7.19518
"ENSMUSG00000000031"	2.89589	2.62243	5.6103	2.79088
"ENSMUSG00000000037"	3.969085	4.10665	2.91924	3.25842
"ENSMUSG00000000049"	3.28521	3.52422	2.94956	2.92106
"ENSMUSG00000000056"	7.04493333333333	7.13429666666667	6.86578666666667	7.14582333333333
"ENSMUSG00000000058"	9.13691	9.63495	8.72351	9.044945
"ENSMUSG00000000078"	11.2703225	10.9568625	10.57357	10.6605325
"ENSMUSG00000000085"	5.24587	5.425585	5.899785	5.71176
"ENSMUSG00000000088"	11.9925633333333	11.95248	12.8233033333333	12.76108
"ENSMUSG00000000093"	3.67647	3.07286	5.76702	4.7068
"ENSMUSG00000000094"	2.756485	2.812865	2.678895	2.670045
"ENSMUSG00000000103"	3.72262	3.71844	4.05048	4.0787
"ENSMUSG00000000120"	3.61243333333333	3.58205333333333	3.84673333333333	3.76109
"ENSMUSG00000000125"	2.51453	2.37802	2.35928	2.29397
"ENSMUSG00000000126"	5.509995	5.925205	5.5092	5.206615
"ENSMUSG00000000127"	7.25722	7.423265	6.791975	6.930615
"ENSMUSG00000000131"	8.44878	8.43444	8.6363	7.83119
"ENSMUSG00000000134"	11.21501	11.0081	11.14515	11.02794
"ENSMUSG00000000142"	6.89328	8.11038	7.201715	7.45897
"ENSMUSG00000000148"	5.732645	6.00779	5.574785	5.7182475
"ENSMUSG00000000149"	7.41952333333333	6.84084666666667	7.11586	6.63015333333333
"ENSMUSG00000000154"	6.246455	6.94847	5.20136	5.252745
"ENSMUSG00000000157"	3.08244	3.39335	3.0079	3.34286
"ENSMUSG00000000159"	3.34199	3.391435	3.271985	2.97597
"ENSMUSG00000000167"	5.89866	6.63953	4.96396	5.20437
"ENSMUSG00000000168"	8.06856	8.233405	9.8881875	9.5732375
"ENSMUSG00000000171"	11.145905	11.32885	12.422085	12.289185
"ENSMUSG00000000182"	3.41898	3.44975	3.36368	3.39444
"ENSMUSG00000000183"	2.51953	2.70979	2.81826	2.9339
"ENSMUSG00000000184"	11.2693528571429	11.5360342857143	8.53647	9.62358
"ENSMUSG00000000194"	6.29106666666667	6.42073666666667	6.02953	6.18825
"ENSMUSG00000000197"	2.803625	2.685465	2.316635	2.63356
"ENSMUSG00000000202"	5.22427	4.94112	4.54526	4.71299
"ENSMUSG00000000204"	4.50268	4.554995	4.174705	4.12079
"ENSMUSG00000000214"	3.33018	2.90513	2.86039	3.06542
"ENSMUSG00000000215"	4.20564	4.15642	4.34595	4.60827
"ENSMUSG00000000216"	3.66457	3.47023	3.55826	3.22834
