"iWAT_M03(r1)"	"iWAT_M03(r2)"	"Beige/brite (RG on iWAT)_M03(r1)"	"Beige/brite (RG on iWAT)_M03(r2)"
"ENSMUSG00000000001"	9.641285	9.55635	9.25449	9.135855
"ENSMUSG00000000003"	4.36654	4.50609	4.32866	4.49479
"ENSMUSG00000000028"	7.09875	6.80712	7.06682	6.97628
"ENSMUSG00000000031"	8.67534	8.59643	8.42691	8.62952
"ENSMUSG00000000037"	4.53011	4.66394	4.62372	4.86417
"ENSMUSG00000000049"	5.27132	5.31223	5.16993	5.44816
"ENSMUSG00000000056"	7.63729	7.70610666666667	8.00301666666667	7.88080666666667
"ENSMUSG00000000058"	9.672585	9.74786	9.71176	9.70863
"ENSMUSG00000000078"	10.4204466666667	10.4722233333333	10.3856733333333	10.2297666666667
"ENSMUSG00000000085"	7.57576	7.57968	7.31601	7.41406
"ENSMUSG00000000088"	13.1849333333333	13.19829	13.5264566666667	13.6003166666667
"ENSMUSG00000000093"	4.7633	4.7782	4.79978	4.83081
"ENSMUSG00000000094"	5.16386	5.14271	5.27083	5.47482
"ENSMUSG00000000103"	4.36491	4.4864	4.526445	4.54451
"ENSMUSG00000000120"	6.75637333333333	6.72955	6.49352333333333	6.3175
"ENSMUSG00000000125"	4.16058	4.05475	4.05258	4.21032
"ENSMUSG00000000126"	4.57688	4.8061	4.59386	4.73711
"ENSMUSG00000000127"	8.118025	8.023315	7.927015	7.81915
"ENSMUSG00000000131"	9.17033	9.16838	9.11461	9.0295
"ENSMUSG00000000142"	5.404825	5.420585	5.5858	5.654665
"ENSMUSG00000000148"	6.43588	6.486005	6.35861	6.4256225
"ENSMUSG00000000149"	7.74082333333333	7.63274666666667	7.80110333333333	7.71363333333333
"ENSMUSG00000000154"	6.238485	6.28126	6.12994	6.085135
"ENSMUSG00000000157"	6.17462	6.12289	6.25438	6.2341
"ENSMUSG00000000159"	4.65038	4.728795	4.74618	4.653215
"ENSMUSG00000000168"	8.813195	8.9400325	9.5857225	9.6663875
"ENSMUSG00000000171"	10.467365	10.44426	10.96303	11.05933
"ENSMUSG00000000182"	4.89274	5.03511	4.89285	5.03246
"ENSMUSG00000000183"	4.98139	4.97464	5.22741	5.21927
"ENSMUSG00000000184"	11.3461228571429	11.3415385714286	11.3681728571429	11.2304585714286
"ENSMUSG00000000202"	4.6242	4.69703	4.65376	4.79057
"ENSMUSG00000000204"	4.53005	4.58163	4.666625	4.562875
"ENSMUSG00000000214"	6.58274	6.5474	6.59267	6.64971
"ENSMUSG00000000215"	7.15073	7.38945	7.25059	7.45281
"ENSMUSG00000000216"	4.93807	5.21927	5.06447	5.68443
"ENSMUSG00000000244"	4.74118	4.67611	4.59919	4.65304
"ENSMUSG00000000247"	5.41403	5.49661	6.02237	5.7503
"ENSMUSG00000000248"	5.05272	5.04064	4.88107	4.84864
"ENSMUSG00000000253"	7.00284	7.28408	7.6426	7.65876
"ENSMUSG00000000263"	5.00234	4.97598	4.67178	5.09856
"ENSMUSG00000000266"	5.492785	5.434135	5.44476	5.555415
"ENSMUSG00000000275"	9.13854666666667	9.15208	9.82889	9.82182666666667
"ENSMUSG00000000276"	5.840865	5.88451	6.14629	6.07055
"ENSMUSG00000000278"	11.136185	11.14281	10.81323	10.868745
"ENSMUSG00000000282"	7.168265	7.27064	7.034495	7.08197
"ENSMUSG00000000290"	6.49697	6.30333	6.3237	6.50277
"ENSMUSG00000000295"	9.17014	9.14294	9.36495	9.3254
"ENSMUSG00000000296"	6.23147	6.09687	6.16644	5.97189
"ENSMUSG00000000301"	7.35575	7.19826	7.53578	7.57143
"ENSMUSG00000000303"	4.47427	4.46901	4.46874	4.47296
"ENSMUSG00000000305"	4.52774	4.57258	4.614945	4.610875
"ENSMUSG00000000308"	5.235	5.180155	5.286765	5.179695
"ENSMUSG00000000317"	7.6249	7.57557	7.569	7.53532
"ENSMUSG00000000318"	5.60218	5.98468	5.61814	5.6495
"ENSMUSG00000000320"	5.433755	5.52817	5.16866	5.25482
"ENSMUSG00000000325"	5.3166	5.42518666666667	5.57848666666667	5.48652333333333
"ENSMUSG00000000326"	10.77354	10.797875	11.09094	11.13058
"ENSMUSG00000000339"	10.57049	10.51745	10.75553	10.63819
"ENSMUSG00000000340"	9.1725	9.08744	9.68532	9.70322
"ENSMUSG00000000346"	12.21001	12.19669	12.21213	12.20241
"ENSMUSG00000000355"	11.93417	11.85011	11.97215	11.99123
"ENSMUSG00000000359"	6.52763	6.434715	6.55125	6.44242
"ENSMUSG00000000365"	4.34452	4.10939	4.12058	4.2184
"ENSMUSG00000000374"	9.88467	9.88902	10.01203	10.00142
"ENSMUSG00000000378"	9.97441666666667	9.98013333333333	9.95164333333333	10.0000366666667
"ENSMUSG00000000381"	5.27689	5.32303	5.1188	5.33803
"ENSMUSG00000000384"	7.24113333333333	7.23973	7.56608	7.69017333333333
"ENSMUSG00000000385"	4.95408	4.998425	5.11766	5.1615
"ENSMUSG00000000386"	4.67693	4.82605	4.70308	4.89338
"ENSMUSG00000000392"	9.90728	10.01883	9.27939	9.31238
"ENSMUSG00000000394"	4.33849	4.32556	4.35114	4.44493
"ENSMUSG00000000399"	12.39571	12.44883	12.90559	12.9493
"ENSMUSG00000000402"	6.84888	7.08221	6.26164	6.06764
"ENSMUSG00000000409"	5.7468	5.78302	5.69934	5.71121
"ENSMUSG00000000411"	5.01713	4.92791	4.94866	4.93228
"ENSMUSG00000000420"	9.81277	9.76793	9.681525	9.674685
"ENSMUSG00000000435"	4.25073	4.25754	4.24453	4.23389
"ENSMUSG00000000439"	7.35178666666667	7.34713333333333	7.38676666666667	7.44168666666667
"ENSMUSG00000000440"	12.10588	12.16139	11.93355	11.88809
"ENSMUSG00000000441"	10.147935	10.157305	9.834245	9.80528
"ENSMUSG00000000486"	5.23512	5.23498	5.44124	5.5063
"ENSMUSG00000000489"	5.73718	5.957535	5.750415	5.44856
"ENSMUSG00000000530"	7.47354	7.42361	7.52612	7.44177
"ENSMUSG00000000531"	6.47642	6.46274	6.53279	6.33663
"ENSMUSG00000000532"	10.0686	10.20014	9.77779	9.75997
"ENSMUSG00000000538"	4.86567666666667	4.97099666666667	4.99492333333333	4.81510666666667
"ENSMUSG00000000544"	5.50179	5.40538	5.39149	5.53265
"ENSMUSG00000000552"	7.24217	7.29543	7.12972	7.13849
"ENSMUSG00000000555"	8.8571	8.77911	8.76427	8.55098
"ENSMUSG00000000560"	4.62115	4.5764	4.63812	4.65176
"ENSMUSG00000000561"	8.67603333333333	8.69711	8.56041	8.55998333333333
"ENSMUSG00000000563"	13.06114	13.03413	13.45359	13.468045
"ENSMUSG00000000567"	7.399725	7.34485	7.148345	7.05556
"ENSMUSG00000000568"	10.76869	10.82227	10.63268	10.54337
"ENSMUSG00000000579"	12.172335	12.160325	12.675035	12.651955
"ENSMUSG00000000581"	7.5287	7.47803666666667	7.42004	7.39380333333333
"ENSMUSG00000000594"	10.668055	10.78177	9.833565	9.87021
"ENSMUSG00000000600"	8.3155	8.14377	7.56473	7.67297
"ENSMUSG00000000605"	10.115805	10.14963	10.113575	9.98641
"ENSMUSG00000000606"	4.15671	4.13835	4.09671	4.159535
"ENSMUSG00000000627"	6.60917	6.67759	6.81515	6.83331
"ENSMUSG00000000628"	10.96381	11.11867	11.41742	11.30874
"ENSMUSG00000000631"	7.53028	7.53393	7.47081	7.39065
"ENSMUSG00000000632"	6.449795	6.41756	6.532575	6.701495
"ENSMUSG00000000673"	5.87675	6.14845	5.83681	6.18462
"ENSMUSG00000000682"	6.99803	6.84811	6.62144	6.82793
"ENSMUSG00000000686"	8.47726	8.60499	9.76859	9.61226
"ENSMUSG00000000690"	8.34892	8.2786	8.3677	8.33238
"ENSMUSG00000000693"	11.31206	11.13514	11.08623	10.90377
"ENSMUSG00000000706"	4.27739333333333	4.22355666666667	4.34183666666667	4.25570333333333
"ENSMUSG00000000708"	8.406195	8.452355	8.370075	8.32724
"ENSMUSG00000000711"	4.99772	5.07656	5.148	5.45776
"ENSMUSG00000000724"	4.93918	4.95144	4.98458	4.87835
"ENSMUSG00000000730"	8.02912	7.79541	8.55045	8.57014
"ENSMUSG00000000731"	5.40676	5.44515	5.42656	5.48819
"ENSMUSG00000000732"	5.88274	5.85612	5.88421	6.26331
"ENSMUSG00000000738"	8.47667	8.64278	8.48343	8.37726
"ENSMUSG00000000739"	5.90616	5.87703	6.20829	6.1517
"ENSMUSG00000000740"	14.0432	13.9674666666667	13.8548	13.8103933333333
"ENSMUSG00000000743"	10.57881	10.56387	10.59799	10.60751
"ENSMUSG00000000751"	10.662035	10.61848	10.46061	10.28077
"ENSMUSG00000000753"	13.774375	13.792905	13.71368	13.616265
"ENSMUSG00000000759"	8.38821	8.32372	8.16284	8.10465
"ENSMUSG00000000766"	4.83269666666667	4.89230666666667	4.86440666666667	4.96485333333333
"ENSMUSG00000000776"	8.665855	8.695745	8.67694	8.61638
"ENSMUSG00000000782"	5.230135	5.32316	5.445035	5.482485
"ENSMUSG00000000787"	12.1523633333333	12.1640166666667	12.2320566666667	12.18288
"ENSMUSG00000000791"	5.53735	5.57649	5.51252	5.5287
"ENSMUSG00000000792"	6.981	7.06608	7.15237	7.39436
"ENSMUSG00000000794"	4.84959	4.97113	4.99318	5.17747
"ENSMUSG00000000805"	5.057555	5.322995	11.172495	11.14499
"ENSMUSG00000000811"	8.09138333333333	8.03053666666667	8.2129	8.31487666666667
"ENSMUSG00000000817"	4.526755	4.47922	4.53461	4.533715
"ENSMUSG00000000826"	9.348698	9.366962	9.513056	9.491176
"ENSMUSG00000000827"	9.59974333333333	9.60393	9.42150666666667	9.45682666666667
"ENSMUSG00000000838"	8.7890625	8.80435	8.748	8.7404475
"ENSMUSG00000000861"	4.37727	4.347535	4.339795	4.34491
"ENSMUSG00000000869"	4.38287	4.40521	4.43947	4.37377
"ENSMUSG00000000876"	9.5087	9.50829	10.14987	10.09733
"ENSMUSG00000000881"	8.32077	8.22601	7.94119	7.70657
"ENSMUSG00000000884"	5.49069	5.48913	5.47918	5.48074
"ENSMUSG00000000889"	5.94191	5.95384	6.05347	6.06539
"ENSMUSG00000000901"	9.17928	9.1072	8.67162	8.67661
"ENSMUSG00000000902"	8.946445	8.842985	8.83745	8.75581
"ENSMUSG00000000903"	5.41106	5.53489	5.77835	5.51606
"ENSMUSG00000000915"	6.32808	6.32356666666667	6.25421333333333	6.33421666666667
"ENSMUSG00000000916"	6.81287	6.78331	6.69392	6.94125
"ENSMUSG00000000934"	7.7737	7.65618	7.78911	7.72934
"ENSMUSG00000000938"	8.17812	8.1902	7.89736	8.0145
"ENSMUSG00000000942"	5.53984	5.57305	6.00116	6.12634
