"eWAT_M04(r1)"	"eWAT_M04(r2)"	"eWAT_M04(r3)"	"BAT_M04(r1)"	"BAT_M04(r2)"	"BAT_M04(r3)"
"ENSMUSG00000000001"	9.40063	9.44183	9.3702	8.09543	8.2615	7.96117
"ENSMUSG00000000003"	1.98424	2.12819	2.09809	2.23078	2.43872	2.36787
"ENSMUSG00000000028"	5.88218	5.79719	5.77794	6.65682	6.35919	6.21873
"ENSMUSG00000000031"	5.266425	5.03586	5.268475	7.00837	8.320665	9.68939
"ENSMUSG00000000037"	3.54181	3.17242	3.13348	3.18459	3.75674	3.41837
"ENSMUSG00000000049"	3.6772	3.7371	3.19396	3.58177	4.07555	3.75888
"ENSMUSG00000000056"	7.70473	7.4012	7.55381	7.67122	7.69349	7.62474
"ENSMUSG00000000058"	9.82305	9.60023	9.59201	9.14432	9.16046	8.78319
"ENSMUSG00000000078"	8.36786	8.36096	8.23887	7.9397	7.85551	7.44202
"ENSMUSG00000000085"	7.21001	7.40396	7.48188	6.79572	6.64969	6.82579
"ENSMUSG00000000088"	8.58171	8.43768	8.45928	11.41818	11.30883	11.4736
"ENSMUSG00000000093"	8.56859	8.68468	8.77999	6.59657	6.59147	6.6652
"ENSMUSG00000000094"	4.81589	4.82736	4.83446	5.06945	4.88157	5.14149
"ENSMUSG00000000103"	2.33508	1.90646	2.07473	2.0234	2.07473	2.30118
"ENSMUSG00000000120"	5.68203	5.8333	5.7157	5.97548	5.82856	5.90137
"ENSMUSG00000000125"	4.11148	4.09941	3.97415	4.15906	4.22694	4.12639
"ENSMUSG00000000126"	6.12939	5.85578	5.89707	6.19797	6.25736	6.2424
"ENSMUSG00000000127"	7.04476	7.03817	7.19269	6.77562	6.90379	6.45874
"ENSMUSG00000000131"	8.46094	8.63463	8.65655	8.06944	7.76467	7.98465
"ENSMUSG00000000134"	7.85464	7.91399	8.00981	7.27728	7.00916	7.26761
"ENSMUSG00000000142"	6.85681	6.86484	7.0608	5.39091	5.59962	5.72947
"ENSMUSG00000000148"	6.99621	6.8037	7.00399	6.64258	6.5703	6.7787
"ENSMUSG00000000149"	8.85611	8.79588	8.92522	9.35602	9.01754	9.2884
"ENSMUSG00000000154"	5.80938	5.77242	5.65747	4.92136	5.36008	5.50709
"ENSMUSG00000000157"	4.62484	4.53491	4.58941	4.74875	4.6437	4.85058
"ENSMUSG00000000159"	6.576125	6.714655	6.85025	4.720445	4.96211	5.14866
"ENSMUSG00000000167"	5.09961	5.43679	5.52089	5.07811	5.32972	4.87065
"ENSMUSG00000000168"	8.6008	8.60053	8.51459	11.36698	11.10448	11.32935
"ENSMUSG00000000171"	9.29473	9.32671	9.26935	12.06698	12.03947	11.87646
"ENSMUSG00000000182"	4.55728	4.5893	4.5407	4.82066	4.7092	4.90702
"ENSMUSG00000000183"	3.9867	4.51378	4.10266	4.23991	4.40684	4.60112
"ENSMUSG00000000184"	9.74427	9.95202	9.94375	7.6576	7.35571	7.78611
"ENSMUSG00000000194"	8.12047	8.23082	8.2029	7.68874	7.6006	7.70351
"ENSMUSG00000000197"	4.84175	5.39592	5.40972	4.69256	4.49849	4.56011
"ENSMUSG00000000202"	5.60779	5.88471	5.6573	5.89275	5.7982	6.11753
"ENSMUSG00000000204"	3.85971	3.79554	3.56225	3.80231	3.97553	3.8406
"ENSMUSG00000000214"	4.69912	4.80515	4.57315	4.66336	4.5786	5.14758
"ENSMUSG00000000215"	4.13906	4.31843	4.36277	4.77467	4.76286	4.71411
"ENSMUSG00000000216"	3.9141	4.13856	3.95937	4.17368	4.41926	4.19183
"ENSMUSG00000000223"	4.65097	4.55412	4.44151	4.67688	4.57947	4.88526
"ENSMUSG00000000244"	4.01631	3.78661	3.88734	3.99259	4.05104	4.00881
"ENSMUSG00000000247"	4.5243	4.45897	4.10779	4.82334	5.00982	5.13632
"ENSMUSG00000000248"	3.35022	3.46607	3.25279	4.15096	4.04947	3.64519
"ENSMUSG00000000253"	5.78959	5.84153	5.75286	8.7383	9.07222	8.7909
"ENSMUSG00000000263"	3.36366	3.36632	3.21204	3.48806	3.49595	3.68334
"ENSMUSG00000000266"	6.67014	6.7391	6.7721	6.69799	6.67825	6.5679
"ENSMUSG00000000275"	7.4486	7.47957	7.39249	7.43216	7.44972	7.34186
"ENSMUSG00000000276"	6.05697	5.99458	6.12818	6.47858	6.37821	6.18132
"ENSMUSG00000000278"	8.3817	8.41448	8.5757	9.84732	9.55156	9.56924
"ENSMUSG00000000282"	6.49704	6.38472	6.43518	6.2501	6.25932	6.42532
"ENSMUSG00000000290"	6.2957	6.5915	6.63116	5.61735	5.34192	5.78896
"ENSMUSG00000000295"	7.68632	7.26845	7.42488	7.38392	7.29253	6.96708
"ENSMUSG00000000296"	8.50931	8.27769	8.30643	6.25714	6.3471	6.00218
"ENSMUSG00000000301"	9.96368	10.03379	9.73246	7.68423	7.53508	7.17482
"ENSMUSG00000000303"	8.4357	8.7451	8.81964	4.82837	4.90489	4.64819
"ENSMUSG00000000305"	4.30232	4.462465	4.15255	4.83021	4.446025	4.55324
"ENSMUSG00000000308"	4.62898	5.11354	4.81026	4.65002	4.98229	4.55391
"ENSMUSG00000000317"	6.05159	5.96288	6.54315	6.04953	5.90731	6.38574
"ENSMUSG00000000318"	6.44369	6.06861	6.51365	4.98921	5.44651	5.36684
"ENSMUSG00000000320"	7.83602	8.0318	8.12844	5.55116	4.81009	4.6626
"ENSMUSG00000000325"	6.83618	7.23955	7.04733	6.36118	6.3879	6.3073
"ENSMUSG00000000326"	10.00795	9.98799	10.05965	10.44757	10.36997	10.57774
"ENSMUSG00000000339"	7.10286	6.96224	7.0854	7.84797	7.79906	7.67231
"ENSMUSG00000000340"	8.15707	8.20261	8.16207	10.39687	10.22187	10.35096
"ENSMUSG00000000346"	10.29782	10.21238	10.32863	9.61458	9.60129	9.7307
"ENSMUSG00000000355"	6.69179	6.54322	6.74772	7.31045	7.72216	7.365
"ENSMUSG00000000359"	7.28152	7.57087	7.68653	6.1842	5.8166	6.19543
"ENSMUSG00000000365"	3.11425	3.08453	3.26664	3.29258	3.66031	3.06867
"ENSMUSG00000000374"	8.5132	8.46732	8.62181	8.63173	8.3718	8.46863
"ENSMUSG00000000378"	7.61162	7.49227	7.42683	7.58311	7.61661	7.59982
"ENSMUSG00000000381"	5.02343	5.3318	4.89781	5.51556	5.62013	5.35592
"ENSMUSG00000000384"	5.3929675	5.460905	5.5717175	6.7059525	6.64136	6.506515
"ENSMUSG00000000385"	5.89885	5.38778	5.53498	4.33362	5.20891	4.6715
"ENSMUSG00000000386"	3.00553	2.92959	2.98352	3.19849	2.96297	3.14758
"ENSMUSG00000000392"	4.01571	4.80581	4.65916	5.1477	5.41837	5.29137
"ENSMUSG00000000394"	2.6673	2.86429	2.63709	3.46141	3.35751	2.81248
"ENSMUSG00000000399"	9.19931	9.17524	9.02274	11.66888	11.59901	11.56615
"ENSMUSG00000000402"	7.14058	7.32625	7.31863	4.07544	3.61149	3.68825
"ENSMUSG00000000409"	4.7858	4.73212	4.76737	4.71332	4.78878	4.91315
"ENSMUSG00000000411"	4.678	4.75512	4.85353	4.93263	4.5509	4.92575
"ENSMUSG00000000416"	5.76234	6.51667	6.26738	4.57621	5.10166	4.92286
"ENSMUSG00000000420"	7.95669	8.00658	8.0178	7.99961	8.00231	7.92339
"ENSMUSG00000000435"	3.27157	3.3537	3.19359	3.43317	3.40444	3.83348
"ENSMUSG00000000439"	7.54503	7.58848	7.57759	7.94069	7.88378	7.9418
"ENSMUSG00000000440"	9.33013	9.40723	9.50293	10.88852	10.68	10.77867
"ENSMUSG00000000441"	8.57157	8.68658	8.70037	9.10925	8.87521	9.07063
"ENSMUSG00000000486"	5.822255	5.904795	6.054375	5.99181	6.089285	6.12229
"ENSMUSG00000000489"	7.46901	7.28947	7.74967	7.77418	7.80177	7.9042
"ENSMUSG00000000530"	7.29725	7.39843	7.29656	7.30618	7.31653	7.39523
"ENSMUSG00000000531"	5.91228	5.86113	5.76044	6.20457	6.18178	6.22678
"ENSMUSG00000000532"	7.86134	7.53851	7.78393	6.35429	6.21756	6.72202
"ENSMUSG00000000538"	7.63314	7.64262	7.65533	8.03751	7.94749	7.95395
"ENSMUSG00000000544"	4.62198	5.02899	4.63743	4.49252	4.62294	4.70201
"ENSMUSG00000000552"	6.74153	6.61	6.66472	6.70649	6.57833	6.73593
"ENSMUSG00000000555"	5.67763	5.78929	6.16907	5.42553	5.28212	5.91977
"ENSMUSG00000000560"	3.44389	2.94766	2.62001	3.73407	3.26852	3.44329
"ENSMUSG00000000561"	8.52493	8.50837	8.59446	8.84561	8.60524	8.66654
"ENSMUSG00000000562"	4.49775	4.56793	4.33955	4.46439	4.61179	4.76166
"ENSMUSG00000000563"	9.429065	9.30281	9.24238	11.211995	11.300655	11.184645
"ENSMUSG00000000567"	7.55906	7.88158	7.9796	5.78243	4.96434	6.19661
"ENSMUSG00000000568"	9.23599	9.23846	9.44638	8.64847	8.55007	8.83169
"ENSMUSG00000000579"	10.08882	9.794345	9.94803	9.17851	9.33609	9.187355
