"BAT_M05(r1)"	"BAT_M05(r2)"	"BAT_M05(r3)"	"eWAT_M05(r1)"	"eWAT_M05(r2)"	"eWAT_M05(r3)"
"ENSMUSG00000000001"	7.11265	6.85095	7.145945	8.147645	8.10453	8.18406
"ENSMUSG00000000003"	3.91452	4.17566	3.91917	3.84968	3.88131	3.97313
"ENSMUSG00000000028"	7.04134	7.15423	7.2643	6.92291	6.95939	7.04504
"ENSMUSG00000000031"	5.90328	6.04862	5.87869	5.47682	5.45231	5.48155
"ENSMUSG00000000037"	5.05238	5.15194	5.049055	5.076295	4.98681	4.872195
"ENSMUSG00000000049"	6.94238	6.96256	7.01274	7.05543	7.06206	6.9708
"ENSMUSG00000000056"	6.83201666666667	6.83816	6.85100333333333	6.77242333333333	6.67848333333333	6.64591666666667
"ENSMUSG00000000058"	8.849135	8.69611	8.763955	9.831535	9.966565	9.82221
"ENSMUSG00000000078"	6.94066	6.7593875	6.7581875	8.5169075	8.5206825	8.580185
"ENSMUSG00000000085"	6.18948	6.124315	6.157795	6.464035	6.45148	6.432405
"ENSMUSG00000000088"	13.1199	13.05568	13.17227	11.8171933333333	11.89924	11.8584433333333
"ENSMUSG00000000093"	4.70816	4.71929	4.70846	4.75734	4.90331	4.82373
"ENSMUSG00000000094"	5.360955	5.250775	5.25599	5.15071	5.108085	5.205545
"ENSMUSG00000000103"	4.158125	4.09779	4.099495	3.933385	4.132605	4.05912
"ENSMUSG00000000120"	5.75762666666667	5.78571	5.90192666666667	5.57812333333333	5.53199666666667	5.64534666666667
"ENSMUSG00000000125"	3.87143	3.69207	3.77654	3.68782	3.84588	3.75459
"ENSMUSG00000000126"	4.56773	4.715585	4.646205	4.71075	4.702775	4.724415
"ENSMUSG00000000127"	6.418	6.26856	6.265735	6.158755	6.244075	6.18091
"ENSMUSG00000000131"	7.95943	7.73003	7.8948	8.60285	8.68998	8.77885
"ENSMUSG00000000134"	9.74083	9.72171	9.82682	9.66971	9.54858	9.54252
"ENSMUSG00000000142"	6.52112	6.49437	6.67769	7.230635	6.993495	7.113285
"ENSMUSG00000000148"	6.51872	6.45176	6.5066825	6.70795	6.6702375	6.68351
"ENSMUSG00000000149"	8.62959666666667	8.12988333333333	8.64017666666667	8.56711333333333	8.49928	8.24185
"ENSMUSG00000000154"	6.55874	6.54562	6.591465	6.92335	6.95771	6.9813
"ENSMUSG00000000157"	6.09779	6.09344	6.46634	6.1779	6.02029	6.25496
"ENSMUSG00000000159"	5.04707	4.917595	4.93747	4.8906	4.91496	4.93062
"ENSMUSG00000000167"	4.10603	4.40687	4.32173	4.1003	4.21673	4.31019
"ENSMUSG00000000168"	9.5097575	9.284245	9.474895	7.8084975	7.8173025	7.700475
"ENSMUSG00000000171"	11.32294	11.23344	11.417795	9.383775	9.482325	9.440845
"ENSMUSG00000000182"	5.33534	5.33952	5.32653	5.49457	5.25436	5.30653
"ENSMUSG00000000183"	5.21323	5.52507	5.3338	5.13856	5.38014	4.87664
"ENSMUSG00000000184"	6.89035428571429	6.65794571428571	6.80396	9.51671714285714	9.52626	9.45242
"ENSMUSG00000000194"	7.42861	7.44317	7.42452666666667	7.50221666666667	7.37718333333333	7.47175
"ENSMUSG00000000197"	4.48264	4.55572	4.509615	4.344705	4.48132	4.48321
"ENSMUSG00000000202"	4.34959	4.25084	4.43224	4.2862	4.21155	4.19
