"sWAT_M06(r1)"	"sWAT_M06(r2)"	"sWAT_M06(r3)"	"sWAT_M06(r4)"	"BAT_M06(r1)"	"BAT_M06(r2)"	"BAT_M06(r3)"	"BAT_M06(r4)"
"ENSMUSG00000000001"	8.862255	8.59025	8.676565	8.67566	7.435675	7.603815	7.906715	8.28732
"ENSMUSG00000000003"	2.35452	2.7396	3.34331	2.53029	2.95924	2.43436	2.44172	2.46597
"ENSMUSG00000000028"	6.98915	6.52315	6.65963	7.04401	7.24293	6.83912	6.79	6.33198
"ENSMUSG00000000031"	5.24012	5.46604	4.89512	4.78375	7.78773	8.54764	7.0984	9.34812
"ENSMUSG00000000037"	3.61597	3.463395	3.857465	3.32242	3.588135	3.413215	3.55905	3.66152
"ENSMUSG00000000049"	3.69082	3.4426	3.43074	3.59809	3.73645	3.77461	3.6534	3.64835
"ENSMUSG00000000056"	6.26298	6.11081	5.89949	5.98291666666667	6.37405333333333	6.17298333333333	6.39366666666667	6.00310333333333
"ENSMUSG00000000058"	8.16485	8.732855	8.43589	8.118995	8.59737	8.38893	8.66892	8.68077
"ENSMUSG00000000078"	8.519205	8.2703525	7.777215	8.3914975	7.52927	7.778955	8.3661375	8.346295
"ENSMUSG00000000085"	5.6089	5.492655	5.41052	5.516165	5.18774	5.37715	5.550765	5.058575
"ENSMUSG00000000088"	12.0817633333333	12.0515833333333	12.2314733333333	12.1448333333333	13.32632	13.2877733333333	13.2380166666667	13.1642433333333
"ENSMUSG00000000093"	3.81163	4.26469	3.63923	3.44884	4.39504	4.46208	4.0044	4.05104
"ENSMUSG00000000094"	3.154335	2.840865	3.157545	3.3447	3.838605	3.676125	3.500375	3.654245
"ENSMUSG00000000103"	2.595935	2.62467	3.53654	2.72578	2.878405	2.536235	2.58221	2.84349
"ENSMUSG00000000120"	4.01562666666667	4.24801333333333	4.23016666666667	4.55664333333333	4.39337666666667	4.33693666666667	4.26717666666667	4.49342666666667
"ENSMUSG00000000125"	2.53828	2.39194	2.21435	2.18594	2.41543	2.41543	2.2185	2.24413
"ENSMUSG00000000126"	3.39985	3.858545	3.895765	3.68951	4.388025	4.2866	4.29298	4.10921
"ENSMUSG00000000127"	4.923865	5.126805	4.501035	4.87152	5.03994	5.106305	5.45255	5.982925
