"BAT_M07(r1)"	"BAT_M07(r2)"	"BAT_M07(r3)"	"BAT_M07(r4)"	"BAT_M07(r5)"	"eWAT_M07(r1)"	"eWAT_M07(r2)"	"eWAT_M07(r3)"	"eWAT_M07(r4)"	"eWAT_M07(r5)"	"eWAT_M07(r6)"
"ENSMUSG00000000001"	9.38933	9.27223	9.49234	9.5502	9.24783	9.30079	9.14476	9.26766	9.36914	9.22448	9.3184
"ENSMUSG00000000003"	3.28551	3.27092	3.47264	3.2838	3.22015	3.27031	3.39002	3.43557	3.39002	3.39002	3.46982
"ENSMUSG00000000028"	6.12014	6.09327	6.20139	6.11077	6.43138	5.9544	5.8796	5.8061	5.85538	5.99349	5.91025
"ENSMUSG00000000031"	7.28119	7.18691	7.48654	7.33726	7.1174	6.68924	6.49923	6.71786	6.25713	6.64998	6.2674
"ENSMUSG00000000049"	3.19538	3.54526	3.52313	3.40522	3.55064	3.57277	3.74388	3.53175	3.48753	3.53277	3.60518
"ENSMUSG00000000078"	8.18524	7.75672	7.89765	8.16412	7.66326	7.89101	7.90105	8.35479	7.8713	7.77481	7.75496
"ENSMUSG00000000085"	6.99554	6.94737	7.00673	6.98948	6.94239	7.16814	7.24235	7.20128	7.27124	7.08325	7.07178
"ENSMUSG00000000093"	5.94997	6.00292	5.894015	5.814265	6.00652	5.74147	5.716275	5.8305	5.852355	5.63775	5.838355
"ENSMUSG00000000103"	2.39304	2.27434	2.44234	2.27196	2.35369	2.32896	2.31294	2.28058	2.46949	2.21612	2.33893
"ENSMUSG00000000125"	5.60504	5.78228	6.0221	5.71433	5.74737	5.5936	5.74673	5.69634	5.78471	5.53786	5.78973
"ENSMUSG00000000127"	4.95493	5.01998	4.8278	5.08636	4.7473	4.87745	4.81695	4.8031	4.94835	4.88706	4.75374
"ENSMUSG00000000131"	7.72303	7.49221	7.72879	7.55164	7.67231	7.91688	7.81679	7.80145	7.94095	7.88715	7.78208
"ENSMUSG00000000142"	5.13943	5.38852	5.27851	5.21353	5.32073	5.29719	5.5614	5.19316	5.44611	5.17243	5.46018
"ENSMUSG00000000149"	6.28289	6.23889	6.19998	6.352975	6.30909	5.973535	5.95957	5.9082	6.053325	6.114075	5.981215
"ENSMUSG00000000154"	5.7493	6.18194	6.00814	5.88437	5.91388	5.8813	6.15924	6.09966	6.13094	5.86049	6.09632
"ENSMUSG00000000157"	5.98442	6.13573	6.10406	6.02714	5.84293	6.00891	6.14015	5.89983	5.85244	5.74963	5.9809
"ENSMUSG00000000159"	2.36015	2.54248	2.48883	2.65165	2.65695	2.67103	2.75792	2.66147	2.49431	2.52997	2.66253
"ENSMUSG00000000168"	6.16996	6.12351	5.990925	6.12672	6.110595	6.02126	6.191055	5.888285	5.84104	6.09326	6.13514
"ENSMUSG00000000171"	10.64949	10.60772	10.17116	10.35622	10.41197	9.24774	9.2473	8.86169	8.95908	9.64814	9.38903
"ENSMUSG00000000183"	3.53304	3.60378	3.55219	3.33011	3.57566	3.66855	3.68456	3.54261	3.57536	3.40583	3.52055
"ENSMUSG00000000184"	4.88959	5.16503	5.16382	5.12086	5.11447	5.74242	5.54004	5.38983	5.28399	5.68727	5.6994
"ENSMUSG00000000202"	4.72264	4.7804	4.84993	4.74389	4.93105	5.01209	5.12972	5.23698	5.06841	4.92104	5.19018
"ENSMUSG00000000204"	3.749085	3.84722	3.782055	3.79396	3.715115	3.74406	3.789605	3.799315	3.863105	3.72489	3.88478
"ENSMUSG00000000214"	5.86352	6.04834	5.97392	5.81244	6.05491	5.99041	6.1094	6.14132	6.01342	5.87892	6.1816
"ENSMUSG00000000215"	2.86875	2.96608	2.96948	2.90711	2.99522	2.93806	2.98001	3.049	3.05281	3.0933	3.05348
"ENSMUSG00000000244"	5.35026	5.47204	5.27013	5.15876	5.30442	5.28581	5.32284	5.25487	5.47554	5.19795	5.54759
