"iWAT_M08(r1)"	"iWAT_M08(r2)"	"iWAT_M08(r3)"	"Beige/brite (cold on iWAT)_M08(r1)"	"Beige/brite (cold on iWAT)_M08(r2)"	"Beige/brite (cold on iWAT)_M08(r3)"	"iWAT_M08(r4)"	"iWAT_M08(r5)"	"iWAT_M08(r6)"	"Beige/brite (cold on iWAT)_M08(r4)"	"Beige/brite (cold on iWAT)_M08(r5)"	"Beige/brite (cold on iWAT)_M08(r6)"
"ENSMUSG00000000001"	8.501425	8.54195	8.556855	8.356205	8.425385	8.46393	8.518405	8.71096	8.646125	7.995395	7.923845	7.881095
"ENSMUSG00000000003"	4.67727	4.66753	4.65455	4.78611	4.77119	4.6592	4.69977	4.69886	4.72388	4.65883	4.72635	4.72306
"ENSMUSG00000000028"	6.27854	6.25844	6.31975	6.33561	6.26762	6.38176	6.11344	6.21115	6.20016	6.4507	6.43938	6.40863
"ENSMUSG00000000031"	5.94466	5.9334	6.14663	5.56582	5.62976	5.7851	5.71731	5.95853	5.709	5.84702	6.1626	5.73205
"ENSMUSG00000000037"	4.989735	5.013555	4.995735	5.015825	5.05534	5.00732	5.04514	5.01097	5.03069	5.033885	5.037705	5.03837
"ENSMUSG00000000049"	6.45277	6.58145	6.56229	6.48871	6.43252	6.56012	6.54615	6.5028	6.44961	6.72533	6.56024	6.61879
"ENSMUSG00000000056"	6.36526	6.33425	6.38571	6.33662666666667	6.37704666666667	6.27475666666667	6.30225333333333	6.28829666666667	6.4368	6.79748333333333	6.68611666666667	6.71972666666667
"ENSMUSG00000000058"	9.121825	9.315755	9.246855	9.3185	8.999875	9.097055	9.31831	9.30754	9.1872	9.198325	8.84549	9.092455
"ENSMUSG00000000078"	8.5658425	8.7124475	8.4990625	7.48983	7.4630725	7.2538675	8.4281875	8.505035	8.64171	7.7592475	7.860405	7.6629875
"ENSMUSG00000000085"	5.94261	5.924595	5.808145	5.86023	5.862155	5.82168	5.65783	5.79279	5.60954	5.797735	5.67385	5.65017
"ENSMUSG00000000088"	12.2888866666667	12.2664633333333	12.35017	12.91558	12.8681966666667	12.79515	12.20771	12.0607466666667	12.0917866666667	12.9422866666667	12.8753133333333	12.81835
"ENSMUSG00000000093"	4.96111	4.96315	5.00911	4.8534	4.92941	4.86299	4.95368	4.86246	5.00004	4.95079	5.07219	4.94936
"ENSMUSG00000000094"	5.205995	5.11201	5.06941	5.164435	5.01755	5.185285	5.13294	5.10778	5.18442	5.30642	5.237545	5.31652
"ENSMUSG00000000103"	4.73946	4.78459	4.71822	4.90062	4.748835	4.763345	4.802415	4.786425	4.743945	4.816925	4.791135	4.85291
