"BAT_M09(r1)"	"BAT_M09(r2)"	"BAT_M09(r3)"	"eWAT_M09(r1)"	"eWAT_M09(r2)"	"eWAT_M09(r3)"	"pvWAT_M09(r1)"	"pvWAT_M09(r2)"	"pvWAT_M09(r3)"	"iWAT_M09(r1)"	"iWAT_M09(r2)"	"iWAT_M09(r3)"
"ENSMUSG00000000001"	9.17399	9.1421	9.16457	9.9768	9.54876	9.81443	9.15682	9.31067	9.33417	9.6061	9.52648	9.73091
"ENSMUSG00000000003"	4.23988	4.18449	4.24539	4.11763	4.26402	4.03928	4.30679	4.18699	4.24666	3.92121	4.05146	4.25293
"ENSMUSG00000000028"	8.28823	8.36979	8.4268	8.16973	8.06396	8.12609	8.23883	8.18564	8.31551	8.03683	8.03855	8.08371
"ENSMUSG00000000031"	9.168775	9.831395	9.13066	7.748405	7.827665	7.767655	8.053135	8.032785	7.917795	7.993985	7.9706	7.965375
"ENSMUSG00000000037"	6.47181	6.69618	6.75196	6.57918	6.8015	6.62588	6.63346	6.33633	6.60433	6.26511	6.54721	6.47541
"ENSMUSG00000000049"	6.90437	6.9002	6.95341	6.63395	6.80844	6.674	6.82135	6.64453	6.76009	6.82644	6.7129	6.48981
"ENSMUSG00000000056"	9.01877	9.09824	8.90701	8.68625	8.39687	8.80148	8.82714	8.83072	8.79042	8.53057	8.59948	8.74942
"ENSMUSG00000000058"	11.31789	11.05398	11.03814	12.25405	12.28728	12.30085	11.23124	11.04227	11.27181	12.05802	11.61373	11.29968
"ENSMUSG00000000078"	9.24753	9.17905	9.14093	10.50326	10.18803	10.50041	9.39441	9.69638	9.69885	10.29043	9.89721	10.02721
"ENSMUSG00000000085"	8.48775	8.46564	8.3305	8.70924	8.88967	9.01892	8.51628	8.58685	8.71445	8.67206	8.75274	8.66507
"ENSMUSG00000000088"	11.53833	11.55083	11.62359	9.87809	9.45768	9.28559	11.76999	11.43276	11.56592	9.70986	9.50662	9.30881
"ENSMUSG00000000093"	8.80203	8.86819	8.80398	8.98559	9.00862	8.84767	8.75574	8.65234	8.65336	8.81717	8.58148	8.50036
"ENSMUSG00000000094"	7.33214	7.4515	7.5296	7.32565	7.38639	7.4521	7.36197	7.33275	7.22258	7.19969	7.18637	7.38267
"ENSMUSG00000000103"	4.11552	4.01652	4.07161	3.94716	4.337	4.30199	4.57407	4.03976	3.80779	4.31629	4.1223	3.99493
"ENSMUSG00000000120"	8.65672	8.50337	8.63676	8.33261	8.42056	8.41649	8.64898	8.55808	8.57558	8.57276	8.71067	8.68894
"ENSMUSG00000000125"	6.99525	7.37768	7.47205	7.19735	7.25478	7.18088	7.57416	6.87182	7.28188	7.01279	7.13134	7.16118
"ENSMUSG00000000126"	8.0967	8.18642	8.44469	8.19337	8.37379	8.27125	8.28349	8.06618	7.98018	8.08824	8.03005	8.00429
"ENSMUSG00000000127"	8.74758	8.70316	8.68911	9.27445	9.18324	9.31916	8.81394	8.7044	8.89539	8.98927	8.95794	8.71928
"ENSMUSG00000000131"	10.20411	10.00106	10.00936	10.49824	10.56119	10.76541	10.27534	10.55333	10.48278	10.79526	10.85646	10.96
"ENSMUSG00000000134"	9.88626	9.84909	9.65584	9.98339	9.83185	9.99977	9.75313	10.01604	10.00096	9.76231	9.914	9.79143
"ENSMUSG00000000142"	8.72438	8.535	8.70613	8.85212	8.9976	8.82123	8.63197	8.64732	8.56782	8.47998	8.36523	8.41712
"ENSMUSG00000000148"	8.49858	8.45507	8.30125	8.51839	8.41167	8.47213	8.38045	8.18991	8.20822	8.37929	8.36358	8.50925
"ENSMUSG00000000149"	10.882	10.70096	10.71235	10.82149	10.45291	10.811	10.81701	10.7617	10.7659	10.67087	10.58427	10.43905
"ENSMUSG00000000154"	8.46793	8.3622	8.3277	8.85011	9.02293	9.15521	8.32963	8.28126	7.95062	8.69745	8.61532	8.63496
"ENSMUSG00000000157"	8.16356	8.17957	8.1258	7.98568	8.18215	7.95518	8.07753	7.91382	7.90761	8.03967	8.06404	8.06507
"ENSMUSG00000000159"	7.662735	7.62228	7.711275	7.601005	9.34145	7.505265	7.80042	7.79104	7.43617	7.59819	7.770785	7.73686
"ENSMUSG00000000167"	7.83352	7.63238	7.69563	7.85743	8.05097	7.69462	7.61151	7.68254	7.6902	7.60812	7.5228	7.46201
"ENSMUSG00000000168"	11.99915	11.8702	11.80417	10.10835	9.87011	9.88083	11.93807	11.68038	11.58713	10.05413	9.98158	9.47404
"ENSMUSG00000000171"	12.18312	12.17064	12.27862	10.76329	10.30601	10.47183	12.24429	12.26626	12.28096	10.24086	10.18281	10.10529
"ENSMUSG00000000182"	7.56188	7.62572	7.70032	7.61656	7.59008	7.4935	7.62642	7.37042	7.58256	7.58623	7.7499	7.5426
"ENSMUSG00000000183"	7.03593	7.03848	6.99014	7.01626	6.86467	6.92863	6.89111	6.69134	6.83297	6.71412	6.87698	6.88655
"ENSMUSG00000000184"	9.54815	9.86047	9.68174	11.93816	11.80311	12.0428	10.25087	10.25929	10.41822	11.34221	11.29609	11.39313
"ENSMUSG00000000194"	9.1677	9.301	9.1952	9.4924	9.28316	9.58448	9.34581	9.39178	9.40834	9.38687	9.376	9.48867
"ENSMUSG00000000197"	7.40241	7.4219	7.70398	7.65194	7.86802	7.82253	7.54622	7.48691	7.30461	7.40212	7.38301	7.38394
"ENSMUSG00000000202"	8.64716	8.80168	8.87867	8.65698	8.8642	8.59368	8.75269	8.52993	8.39569	8.64553	8.58946	8.64445
"ENSMUSG00000000204"	7.41907	7.53155	7.58688	7.22435	7.50447	7.52117	7.59804	7.77571	7.463	7.41093	8.52752	7.70729
"ENSMUSG00000000214"	7.70577	7.6029	7.7693	7.5904	7.57632	7.37744	7.90334	7.4838	7.19394	7.59333	7.56746	7.45908
"ENSMUSG00000000215"	7.11362	7.18661	7.40813	6.98793	7.08736	7.13548	7.46582	7.10063	7.10505	6.9701	6.93334	7.08937
"ENSMUSG00000000216"	6.7837	7.02174	7.17207	6.3783	6.59522	6.49703	6.70096	6.74743	6.77572	6.67334	6.52839	6.59973
"ENSMUSG00000000223"	7.56853	7.80126	7.41579	6.95734	7.3115	7.22562	7.37602	8.94028	7.97752	8.25435	8.20522	7.97499
"ENSMUSG00000000244"	7.45024	7.28275	7.29969	7.88043	7.66145	7.75137	7.37979	7.9683	7.43366	8.76841	9.11261	9.56702
"ENSMUSG00000000247"	7.87366	7.6743	7.80492	7.69548	7.60678	7.4768	7.70998	7.28887	7.35563	7.67227	7.53151	7.54497
"ENSMUSG00000000248"	6.66257	6.99432	6.77783	6.84616	7.2004	6.94214	6.53368	7.1473	6.97331	7.31789	7.27207	7.34128
"ENSMUSG00000000253"	9.63397	10.80687	10.0503	8.22173	7.94643	8.31332	9.98474	10.35469	10.07307	7.96295	7.77091	7.69352
"ENSMUSG00000000263"	6.40938	6.47744	6.61029	6.45056	6.42096	6.47944	6.52587	6.42077	6.54437	6.3209	6.43867	6.33897
"ENSMUSG00000000266"	9.07673	8.94491	8.94014	9.67795	9.67567	9.84614	9.12221	8.89517	9.12882	9.38758	9.03244	8.93165
"ENSMUSG00000000275"	9.03746	8.97563	8.91803	9.06085	9.1322	9.3223	9.17495	9.18511	9.31666	9.30846	9.87148	9.88148
"ENSMUSG00000000276"	7.9639	8.04016	8.07161	8.11103	7.85159	8.25903	7.96146	7.87224	7.90508	8.00395	7.87115	8.02617
"ENSMUSG00000000278"	10.35929	10.7652	10.59904	10.30568	10.05139	10.32241	10.53558	10.66503	10.82594	10.29272	10.47254	10.45094
"ENSMUSG00000000282"	8.84172	8.85789	8.90399	8.82106	8.92079	8.8466	8.82885	8.74945	8.71117	8.9479	8.86677	8.85779
"ENSMUSG00000000290"	8.52195	8.26819	7.85634	9.60989	9.36451	9.56506	8.35903	9.47689	8.68633	9.68499	10.32784	10.52219
"ENSMUSG00000000295"	9.4051	9.20355	9.45446	9.02298	9.00115	9.03713	9.27628	9.40289	9.33715	9.03851	8.87499	8.86847
"ENSMUSG00000000296"	8.12687	8.08573	8.11811	7.45942	7.7806	7.74251	8.03453	7.94193	7.97963	7.45472	7.47558	7.57388
"ENSMUSG00000000301"	8.79665	8.62978	8.66251	8.87125	8.81476	8.5878	8.99494	8.77914	8.72534	8.6769	8.44096	8.16676
"ENSMUSG00000000303"	7.38246	7.69546	7.47698	7.79157	8.12962	7.5759	7.63822	7.59401	7.31593	7.6333	7.60118	7.78231
