"Beige/brite (cold on sWAT)_M10(r1)"	"Beige/brite (cold on sWAT)_M10(r2)"	"Beige/brite (cold on sWAT)_M10(r3)"	"Treated BAT (cold)_M10(r1)"	"Treated BAT (cold)_M10(r2)"	"Treated BAT (cold)_M10(r3)"	"sWAT_M10(r1)"	"sWAT_M10(r2)"	"sWAT_M10(r3)"	"mWAT_M10(r1)"	"mWAT_M10(r2)"	"Beige/brite (cold on mWAT)_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r2)"	"BAT_M10(r1)"	"Beige/brite (cold on mWAT)_M10(r3)"	"mWAT_M10(r3)"	"BAT_M10(r2)"	"BAT_M10(r3)"
"ENSMUSG00000000001"	9.0733	9.22858	9.4749	9.100865	8.91508	8.97857	9.480215	9.24936	9.463365	9.534095	9.152535	9.257475	9.199815	8.86564	9.336785	9.43538	8.988635	8.98005
"ENSMUSG00000000003"	2.84042	2.56635	2.70611	2.97673	2.75771	2.90546	2.72491	2.75499	2.71364	2.6716	2.72924	2.5836	2.82791	2.60461	2.63909	2.66237	2.99976	2.88443
"ENSMUSG00000000028"	7.65894	7.7741	7.7186	8.31572	8.22442	8.29614	8.14081	6.71305	7.71445	7.80139	6.67918	7.81141	7.86474	7.7828	7.14168	7.56949	7.67926	7.51237
"ENSMUSG00000000031"	9.50244	9.38806	7.6162	8.50365	9.46788	9.12434	11.38359	10.30987	10.04623	7.39853	7.91812	6.80895	6.81113	11.16605	7.90423	7.22342	8.24811	11.5118
"ENSMUSG00000000037"	5.707	5.58426	5.440855	5.08469	5.234555	4.80621	6.248445	5.600645	5.5199	5.606535	6.055575	5.500575	5.493415	4.967385	6.012575	5.548985	4.997435	5.056385
"ENSMUSG00000000049"	4.38529	4.80631	5.20602	4.77034	5.2531	5.39324	4.64707	4.65597	4.4761	7.08998	4.54991	4.72112	4.04572	4.99848	4.77596	4.47565	5.0711	5.32276
"ENSMUSG00000000056"	8.34597333333333	7.96985	8.36115333333333	9.39065	9.34964333333333	9.7069	7.77826666666667	7.84376666666667	8.00532	8.30881666666667	8.48809333333333	8.28165666666667	8.19478333333333	8.32839	8.38659333333333	8.14197	8.63428333333333	8.42476666666667
"ENSMUSG00000000058"	9.75848	9.84116	9.67046	9.75535	9.77066	9.81641	9.551465	10.176355	9.99702	9.379705	9.53257	9.00704	8.710475	9.992295	9.35872	9.26063	10.286465	10.08764
"ENSMUSG00000000078"	10.194115	10.1431525	10.19168	9.666955	9.636295	9.5575025	10.22028	10.3953	10.432195	10.4353975	10.576655	10.30546	10.12602	10.5431025	10.2794275	10.3403	10.1545875	10.512735
"ENSMUSG00000000085"	8.250625	8.196475	8.05458	7.80071	7.90075	7.52847	8.356085	8.357975	8.19095	8.499005	9.46963	8.58626	8.49291	8.183265	9.232045	8.746005	8.155755	8.21031
