"Treated BAT (cold)_R1(r1)"	"Treated BAT (cold)_R1(r2)"	"Treated BAT (cold)_R1(r3)"	"Beige/brite (cold on iWAT)_R1(r1)"	"Beige/brite (cold on iWAT)_R1(r2)"	"Beige/brite (cold on iWAT)_R1(r3)"
"ENSMUSG00000030105"	6.05493045720486	6.23608222251915	5.87671178899719	6.01821675502317	6.13097845383113	5.79144132457824
"ENSMUSG00000096054"	1.62069449370783	1.55342984030321	1.55535099611711	1.67750577280569	1.73795542981314	1.54427882992251
"ENSMUSG00000020495"	1.88627498818062	1.9407071671321	1.94348034119798	1.96079140982513	1.8814438426247	2.38067414025654
"ENSMUSG00000058979"	3.24573669666329	3.63668802696367	3.45712897646569	3.53088080195302	3.38883257829896	3.40420440111299
"ENSMUSG00000049536"	0.173411207263247	0.172087752670627	0.301611338067877	0.308126716350473	0.269589217561116	0.272648587490898
"ENSMUSG00000027333"	1.09981775346959	1.09359322290403	1.15584690414946	1.04759168416846	1.05688597302906	1.15774633630884
"ENSMUSG00000085586"	0.183647239233456	0.114677234081575	0.24378981757084	0.156195129928527	0.307161330983526	0.127767331575577
"ENSMUSG00000025237"	2.52118654378413	2.50665090880652	2.45920657442775	2.47714337663238	2.42029078979163	2.52494020342157
"ENSMUSG00000006299"	6.32701315104104	6.3517357593459	6.33009437008006	6.32222989185215	6.26264965970328	6.37727398342969
"ENSMUSG00000036792"	3.18862722934746	3.38596277356476	3.39216677136301	3.21805833103548	3.35158839548852	3.23166031409586
"ENSMUSG00000021287"	3.17401915053983	3.19552912607362	2.97389003358037	2.96491159560181	3.06931173894823	3.13592024808374
"ENSMUSG00000041241"	5.20167662938727	4.95960630941894	5.04194351189209	5.0982901414575	5.16279797145738	5.16731188265907
"ENSMUSG00000005540"	-1.00831968672084	-1.00886997064999	-1.00871672418243	-0.963590469431336	-0.862859640295833	-1.00314828552637
"ENSMUSG00000021368"	2.96659222379274	3.21655726475254	2.9549372404737	3.01827010933128	3.08605996614534	3.11596763893106
"ENSMUSG00000041607"	4.3039037356037	4.42969755327859	4.28323565848182	4.42265322628668	4.51919669358645	4.44667442405115
"ENSMUSG00000054146"	1.37179505649608	1.36790108198009	1.36898835992293	1.73543902036651	1.57221020321638	2.02152242897733
"ENSMUSG00000001053"	0.0232315388770152	-0.0504625494516386	0.0207943754140394	0.0468782676509161	-0.0581274721007088	0.140524087397827
"ENSMUSG00000030374"	4.35574355723871	4.38903685547848	4.66928784846076	4.50150208040675	4.31092776436538	4.37877342998194
"ENSMUSG00000034297"	5.22736086280514	5.03396743222741	5.17911453717706	5.02557214912636	5.29304389048057	5.19461429129787
"ENSMUSG00000032298"	0.765728429027808	0.692695335812836	0.762753528609584	0.831039924373555	0.84260289361263	0.967335432121348
"ENSMUSG00000022594"	5.51793479579893	5.38652922156084	5.37827307836956	5.20112596774033	5.47041212689868	5.2677041124779
"ENSMUSG00000085526"	-1.54897139011035	-1.54944477518903	-1.5493127580284	-1.55295621599382	-1.49312211018481	-1.45072993396056
"ENSMUSG00000038459"	4.57985387218179	4.57564260946114	4.89808373743055	4.50834253128478	4.35308426537669	4.4542418373027
"ENSMUSG00000001441"	5.37452464669167	5.17452422113783	5.22748047962597	5.38594940857697	4.94731044382832	5.19186539936165
