logFC	AveExpr	t	P.Value	adj.P.Val	B	Score.Cutoff	GeneName
ENSMUSG00000030869	1.51703749321183	9.99552656439507	25.7418786480063	4.7085103854072e-45	6.1175496873089e-43	92.3012005966344	0.86	Ndufab1
ENSMUSG00000028607	1.51964473156928	11.0173383498395	20.8777794197474	1.35670955087365e-37	5.64376392172975e-36	75.131698286705	0.87	Cpt2
ENSMUSG00000031299	1.52105334031444	11.6174551278747	25.3813483356686	1.54687293659426e-44	1.74876998870819e-42	91.1136537625291	0.88	Pdha1
ENSMUSG00000020534	1.52587014980752	7.52793743435392	23.4433551874574	1.15414293360225e-41	8.30315226198976e-40	84.5050777348237	0.82	Shmt1
ENSMUSG00000032314	1.53222013336325	11.6447775413082	28.6325003584435	5.23159059365423e-49	1.57037917647448e-46	101.382467507655	0.88	Etfa
ENSMUSG00000026895	1.53271789040589	10.6045392463476	21.091047060038	6.05144656879187e-38	2.67400215133671e-36	75.9395516892936	0.86	Ndufa8
ENSMUSG00000005510	1.54350644540693	11.1823806210677	29.9504799839464	1.04447235933154e-50	4.9799408949065e-48	105.280388709527	0.87	Ndufs3
ENSMUSG00000030541	1.55348413134508	10.6822657466794	29.9192394871336	1.14415643765801e-50	4.9799408949065e-48	105.189645690614	0.87	Idh2
ENSMUSG00000062070	1.56970436852489	11.05412253155	31.5813119594321	9.94167076186995e-53	9.61580488689754e-50	109.910906300413	0.87	Pgk1
ENSMUSG00000005683	1.58351549614158	12.1830366553786	21.8053195437039	4.20826097209896e-39	2.16762791491843e-37	78.606570345744	0.88	Cs
ENSMUSG00000020092	1.58753937652729	8.41162274464492	27.7826486198641	7.04448513435454e-48	1.49566446572088e-45	98.7909039508837	0.83	Pald1
ENSMUSG00000066632	1.59458777329164	9.90887224439953	25.3900213319403	1.50301734247988e-44	1.72154815345886e-42	91.1423715099251	0.85	Pgk1-rs7
ENSMUSG00000000399	1.61827243134245	10.9208964496413	27.362025143891	2.61071928077545e-47	5.05029140870006e-45	97.4846838400467	0.86	Ndufa9
ENSMUSG00000028910	1.62140426991274	9.34187746250271	21.7761951435648	4.68615659526565e-39	2.39958783304632e-37	78.498974131413	0.84	Mecr
ENSMUSG00000022013	1.62307509593789	10.3103434266895	25.6843515914423	5.68781454753226e-45	7.25295474953944e-43	92.1125651700952	0.85	Dnajc15
ENSMUSG00000021868	1.62423583616866	8.88769122332221	26.480748136907	4.27521820944085e-46	6.89181009503381e-44	94.6956959938478	0.84	Ppif
ENSMUSG00000045316	1.62931667365166	7.51927941712704	21.9300568406436	2.65766055400857e-39	1.42808241497806e-37	79.0662996188591	0.81	Fahd1
